t_start_s,duration_s,p_load_W,rail_t_start_s,rail_net_W
0,0.034267200130838324,25.708535718338378,0,257085.35718338378
0.034267200130838324,0.034267200130838324,37.129668369819576,0.5,371296.68369819573
0.068534400261676648,0.034267200130838324,48.55724931146959,1,485572.49311469588
0.10280160039251497,0.034267200130838324,59.99175385780044,1.5,599917.53857800434
0.1370688005233533,0.034267200130838324,71.433657323324539,2,714336.57323324541
0.17133600065419163,0.034267200130838324,82.883435022554877,2.5,828834.35022554873
0.20560320078502994,0.034267200130838324,94.341562270002953,3,943415.62270002952
0.23987040091586825,0.034267200130838324,105.80851438018168,3.5,1058085.1438018167
0.27413760104670659,0.034267200130838324,117.28476666762066,4,1172847.6666762065
0.30840480117754493,0.034267200130838324,128.77079444680083,4.5,1287707.9444680084
0.34267200130838327,0.034267200130838324,140.26707303224671,5,1402670.7303224672
0.37693920143922155,0.034267200130838324,151.77407773847432,5.5,1517740.7773847431
0.41120640157005989,0.034267200130838324,163.29228387999478,6,1632922.8387999479
0.44547360170089823,0.034267200130838324,174.82216677131896,6.5,1748221.6677131895
0.47974080183173651,0.034267200130838324,186.36420172696134,7,1863642.0172696132
0.5140080019625749,0.034267200130838324,197.91886406143308,7.5,1979188.6406143308
0.54827520209341318,0.034267200130838324,209.48662908918189,8,2094866.2908918187
0.58254240222425147,0.034267200130838324,221.0679721248448,8.5,2210679.7212484479
0.61680960235508986,0.034267200130838324,232.6633684828777,9,2326633.6848287769
0.65107680248592814,0.034267200130838324,244.27329347779045,9.5,2442732.9347779043
0.68534400261676653,0.034267200130838324,255.89822242409178,10,2558982.2242409177
0.71961120274760482,0.034267200130838324,267.53863063630166,10.5,2675386.3063630164
0.7538784028784431,0.034267200130838324,279.19499342892544,11,2791949.9342892542
0.78814560300928149,0.034267200130838324,290.86778611648157,11.5,2908677.8611648157
0.82241280314011977,0.034267200130838324,299.53703526431696,12,2995370.3526431695
0.85668000327095806,0.034267200130838324,299.99999999989421,12.5,2999999.999998942
0.89094720340179645,0.034267200130838324,299.99999999988972,13,2999999.9999988973
0.92521440353263473,0.034267200130838324,299.99999999987858,13.5,2999999.9999987856
0.95948160366347301,0.034267200130838324,299.99999999988603,14,2999999.9999988601
0.99374880379431141,0.034267200130838324,299.9999999998808,14.5,2999999.9999988079
1.0280160039251498,0.034267200130838324,299.99999999986665,15,2999999.9999986663
1.062283204055988,0.034267200130838324,299.99999999986738,15.5,2999999.9999986738
1.0965504041868264,0.034267200130838324,299.99999999988529,16,2999999.9999988526
1.1308176043176648,0.034267200130838324,299.999999999772,16.5,2999999.9999977201
1.1650848044485029,0.034267200130838324,299.99999999973181,17,2999999.9999973178
1.1993520045793413,0.034267200130838324,299.99999999969754,17.5,2999999.9999969751
1.2336192047101797,0.034267200130838324,299.99999999971988,18,2999999.9999971986
1.2678864048410179,0.034267200130838324,299.99999999969452,18.5,2999999.9999969453
1.3021536049718563,0.034267200130838324,299.99999999971391,19,2999999.999997139
1.3364208051026947,0.034267200130838324,299.99999999969009,19.5,2999999.9999969006
1.3706880052335331,0.034267200130838324,299.99999999969606,20,2999999.9999969602
1.4049552053643712,0.034267200130838324,299.99999999970942,20.5,2999999.9999970943
1.4392224054952096,0.034267200130838324,299.99999999969901,21,2999999.99999699
1.473489605626048,0.034267200130838324,185.32048013354094,21.5,1853204.8013354093
1.5077568057568862,0.034267200130838324,34.337128186208012,22,343371.2818620801
1.5420240058877246,0.034267200130838324,34.337128186208012,22.5,343371.2818620801
1.576291206018563,0.034267200130838324,34.337128186208012,23,343371.2818620801
1.6105584061494012,0.034267200130838324,34.337128186208012,23.5,343371.2818620801
1.6448256062802395,0.034267200130838324,34.337128186209505,24,343371.281862095
1.6790928064110779,0.034267200130838324,34.337128186208012,24.5,343371.2818620801
1.7133600065419161,0.034267200130838324,34.337128186208012,25,343371.2818620801
1.7476272066727545,0.034267200130838324,34.337128186208012,25.5,343371.2818620801
1.7818944068035929,0.034267200130838324,34.337128186208012,26,343371.2818620801
1.8161616069344311,0.034267200130838324,34.337128186209505,26.5,343371.281862095
1.8504288070652695,0.034267200130838324,34.337128186208012,27,343371.2818620801
1.8846960071961079,0.034267200130838324,34.337128186208012,27.5,343371.2818620801
1.918963207326946,0.034267200130838324,34.337128186208012,28,343371.2818620801
1.9532304074577844,0.034267200130838324,34.337128186208012,28.5,343371.2818620801
1.9874976075886228,0.034267200130838324,34.337128186209505,29,343371.281862095
2.0217648077194612,0.034267200130838324,34.337128186208012,29.5,343371.2818620801
2.0560320078502996,0.034267200130838324,34.337128186208012,30,343371.2818620801
2.0902992079811376,0.034267200130838324,34.337128186208012,30.5,343371.2818620801
2.1245664081119759,0.034267200130838324,34.337128186209505,31,343371.281862095
2.1588336082428143,0.034267200130838324,34.337128186208012,31.5,343371.2818620801
2.1931008083736527,0.034267200130838324,34.337128186257182,32,343371.28186257184
2.2273680085044911,0.034267200130838324,34.337128186257182,32.5,343371.28186257184
2.2616352086353295,0.034267200130838324,34.337128186257182,33,343371.28186257184
2.2959024087661679,0.034267200130838324,34.337128186257182,33.5,343371.28186257184
2.3301696088970059,0.034267200130838324,34.337128186257182,34,343371.28186257184
2.3644368090278443,0.034267200130838324,34.337128186255697,34.5,343371.28186255693
2.3987040091586826,0.034267200130838324,60.04566390445531,35,600456.63904455304
2.432971209289521,0.034267200130838324,71.466796555934849,35.5,714667.96555934846
2.4672384094203594,0.034267200130838324,82.894377497570218,36,828943.77497570217
2.5015056095511978,0.034267200130838324,94.328882043920458,36.5,943288.82043920457
2.5357728096820358,0.034267200130838324,105.7707855094403,37,1057707.855094403
2.5700400098128742,0.034267200130838324,117.22056320866049,37.5,1172205.6320866048
2.6043072099437126,0.034267200130838324,128.6786904561028,38,1286786.9045610279
2.638574410074551,0.034267200130838324,140.1456425662771,38.5,1401456.4256627709
2.6728416102053894,0.034267200130838324,151.62189485374839,39,1516218.9485374838
2.7071088103362277,0.034267200130838324,163.1079226329133,39.5,1631079.2263291329
2.7413760104670661,0.034267200130838324,174.60420121835918,40,1746042.0121835917
2.7756432105979041,0.034267200130838324,186.11120592460037,40.5,1861112.0592460036
2.8099104107287425,0.034267200130838324,197.62941206610353,41,1976294.1206610352
2.8441776108595809,0.034267200130838324,209.15929495742321,41.5,2091592.9495742321
